2605 24944
0 metamorphosis 1
1 franz 1
2 kafka 1
3 translated 1
4 by 56
5 david 1
6 wyllie 1
7 i 86
8 one 57
9 morning 22
10 , 1292
11 when 68
12 gregor 289
13 samsa 34
14 woke 2
15 from 119
16 troubled 1
17 dreams 2
18 he 589
19 found 13
20 himself 87
21 transformed 1
22 in 348
23 his 550
24 bed 29
25 into 78
26 a 285
27 horrible 3
28 vermin 1
29 . 700
30 lay 19
31 on 152
32 armour-like 1
33 back 82
34 and 642
35 if 103
36 lifted 6
37 head 38
38 little 49
39 could 126
40 see 39
41 brown 4
42 belly 3
43 slightly 8
44 domed 1
45 divided 1
46 arches 1
47 stiff 3
48 sections 1
49 the 1148
50 bedding 1
51 was 413
52 hardly 16
53 able 23
54 to 753
55 cover 1
56 it 367
57 seemed 26
58 ready 4
59 slide 1
60 off 19
61 any 47
62 moment 10
63 many 5
64 legs 20
65 pitifully 1
66 thin 2
67 compared 1
68 with 199
69 size 2
70 of 429
71 rest 7
72 him 188
73 waved 1
74 about 65
75 helplessly 1
76 as 242
77 looked 29
78 `` 140
79 what 75
80 's 176
81 happened 15
82 me 17
83 ? 55
84 '' 122
85 thought 32
86 n't 58
87 dream 2
88 room 131
89 proper 3
90 human 5
91 although 19
92 too 30
93 small 4
94 peacefully 3
95 between 7
96 its 18
97 four 4
98 familiar 2
99 walls 7
100 collection 2
101 textile 1
102 samples 3
103 spread 7
104 out 114
105 table 19
106 - 76
107 travelling 8
108 salesman 2
109 above 4
110 there 106
111 hung 4
112 picture 6
113 that 343
114 had 354
115 recently 3
116 cut 5
117 an 31
118 illustrated 1
119 magazine 1
120 housed 1
121 nice 7
122 gilded 1
123 frame 2
124 showed 3
125 lady 4
126 fitted 2
127 fur 4
128 hat 4
129 boa 1
130 who 33
131 sat 14
132 upright 9
133 raising 4
134 heavy 4
135 muff 1
136 covered 9
137 whole 18
138 her 187
139 lower 7
140 arm 4
141 towards 12
142 viewer 1
143 then 84
144 turned 19
145 look 22
146 window 19
147 at 169
148 dull 2
149 weather 2
150 drops 2
151 rain 3
152 be 119
153 heard 19
154 hitting 2
155 pane 2
156 which 34
157 made 40
158 feel 19
159 quite 30
160 sad 3
161 how 29
162 sleep 14
163 bit 4
164 longer 18
165 forget 6
166 all 134
167 this 92
168 nonsense 1
169 but 171
170 something 28
171 unable 6
172 do 56
173 because 23
174 used 20
175 sleeping 6
176 right 19
177 present 8
178 state 10
179 get 44
180 position 8
181 however 10
182 hard 12
183 threw 5
184 onto 21
185 always 18
186 rolled 3
187 where 37
188 must 18
189 have 109
190 tried 12
191 hundred 1
192 times 15
193 shut 9
194 eyes 19
195 so 97
196 would 191
197 floundering 1
198 only 61
199 stopped 9
200 began 18
201 mild 1
202 pain 10
203 never 20
204 felt 15
205 before 38
206 oh 6
207 god 7
208 strenuous 1
209 career 1
210 is 29
211 i've 1
212 chosen 2
213 ! 43
214 day 28
215 doing 14
216 business 15
217 like 36
218 takes 1
219 much 38
220 more 71
221 effort 10
222 than 55
223 your 16
224 own 10
225 home 19
226 top 3
227 curse 2
228 worries 2
229 making 11
230 train 9
231 connections 1
232 bad 3
233 irregular 1
234 food 14
235 contact 1
236 different 7
237 people 6
238 time 59
239 you 61
240 can 16
241 know 17
242 anyone 8
243 or 42
244 become 19
245 friendly 5
246 them 64
247 go 40
248 hell 1
249 slight 4
250 itch 2
251 up 81
252 ; 170
253 pushed 12
254 slowly 22
255 headboard 1
256 lift 3
257 better 20
258 saw 12
259 lots 1
260 white 7
261 spots 1
262 did 84
263 make 23
264 place 8
265 drew 4
266 quickly 12
267 soon 31
268 touched 4
269 overcome 5
270 cold 3
271 shudder 1
272 slid 3
273 former 1
274 getting 7
275 early 6
276 makes 2
277 stupid 2
278 've 8
279 got 21
280 enough 20
281 other 45
282 salesmen 3
283 live 4
284 life 13
285 luxury 1
286 for 166
287 instance 2
288 whenever 6
289 guest 1
290 house 2
291 during 7
292 copy 1
293 contract 1
294 these 14
295 gentlemen 24
296 are 8
297 still 44
298 sitting 3
299 eating 8
300 their 70
301 breakfasts 2
302 ought 4
303 just 51
304 try 6
305 my 21
306 boss 11
307 'd 11
308 kicked 1
309 spot 3
310 knows 1
311 maybe 7
312 best 4
313 thing 11
314 parents 26
315 think 20
316 given 6
317 notice 8
318 long 22
319 ago 3
320 gone 5
321 told 9
322 tell 6
323 everything 29
324 let 30
325 fall 8
326 desk 9
327 funny 1
328 sort 6
329 talking 4
330 down 35
331 subordinates 1
332 especially 12
333 close 13
334 hearing 3
335 well 31
336 some 40
337 hope 4
338 once 18
339 money 13
340 together 9
341 pay 5
342 ' 2
343 debt 3
344 another 9
345 five 6
346 six 3
347 years 7
348 suppose 1
349 definitely 2
350 'll 17
351 big 3
352 change 4
353 first 44
354 though 30
355 leaves 1
356 over 32
357 alarm 6
358 clock 5
359 ticking 1
360 chest 14
361 drawers 9
362 heaven 1
363 half 8
364 past 6
365 hands 19
366 were 67
367 quietly 5
368 moving 11
369 forwards 4
370 even 80
371 later 12
372 quarter 6
373 seven 9
374 not 177
375 rung 2
376 been 101
377 set 11
378 o'clock 7
379 should 17
380 certainly 13
381 yes 8
382 possible 18
383 through 20
384 furniture-rattling 1
385 noise 8
386 true 3
387 slept 2
388 probably 15
389 deeply 3
390 now 89
391 next 18
392 went 32
393 catch 4
394 rush 5
395 mad 2
396 packed 1
397 particularly 2
398 fresh 6
399 lively 3
400 avoid 3
401 anger 3
402 office 6
403 assistant 2
404 put 14
405 report 3
406 being 26
407 man 7
408 spineless 1
409 no 59
410 understanding 3
411 reported 1
412 sick 1
413 extremely 3
414 strained 1
415 suspicious 3
416 fifteen 2
417 service 2
418 yet 3
419 ill. 2
420 come 32
421 round 25
422 doctor 7
423 medical 1
424 insurance 1
425 company 3
426 accuse 2
427 having 8
428 lazy 1
429 son 2
430 accept 1
431 recommendation 1
432 claim 1
433 believed 1
434 no-one 15
435 ever 11
436 ill 5
437 workshy 1
438 what's 1
439 entirely 4
440 wrong 6
441 case 1
442 fact 5
443 apart 3
444 excessive 1
445 sleepiness 1
446 after 38
447 completely 9
448 hungrier 2
449 usual 5
450 hurriedly 7
451 thinking 1
452 decide 1
453 struck 6
454 cautious 2
455 knock 3
456 door 87
457 near 7
458 somebody 4
459 called 14
460 mother 87
461 want 11
462 somewhere 4
463 gentle 1
464 voice 17
465 shocked 5
466 answering 1
467 recognised 1
468 deep 3
469 inside 3
470 painful 2
471 uncontrollable 1
472 squeaking 1
473 mixed 3
474 words 12
475 echo 1
476 unclear 1
477 leaving 6
478 hearer 1
479 unsure 1
480 whether 10
481 properly 3
482 wanted 28
483 give 11
484 full 7
485 answer 4
486 explain 2
487 circumstances 2
488 contented 1
489 saying 4
490 : 22
491 thank-you 1
492 'm 12
493 noticed 9
494 outside 5
495 wooden 2
496 satisfied 1
497 explanation 3
498 shuffled 1
499 away 32
500 short 5
501 conversation 7
502 members 2
503 family 32
504 aware 6
505 against 27
506 expectations 1
507 father 102
508 came 31
509 knocking 3
510 side 22
511 doors 10
512 gently 4
513 fist 2
514 while 40
515 again 39
516 warning 1
517 deepness 1
518 sister 101
519 plaintively 1
520 need 8
521 anything 14
522 answered 4
523 both 7
524 sides 5
525 remove 4
526 strangeness 1
527 enunciating 1
528 very 34
529 carefully 9
530 putting 2
531 pauses 1
532 each 17
533 individual 2
534 word 8
535 breakfast 7
536 whispered 2
537 open 35
538 beg 2
539 opening 3
540 instead 7
541 congratulated 1
542 habit 6
543 acquired 2
544 locking 1
545 night 10
546 peace 8
547 without 39
548 disturbed 4
549 dressed 9
550 most 11
551 consider 3
552 bring 8
553 thoughts 4
554 sensible 4
555 conclusions 2
556 lying 6
557 remembered 3
558 often 15
559 perhaps 18
560 caused 6
561 awkwardly 1
562 pure 1
563 imagination 1
564 wondered 1
565 imaginings 1
566 resolve 1
567 themselves 10
568 today 4
569 slightest 6
570 doubt 1
571 nothing 18
572 sign 8
573 serious 7
574 occupational 1
575 hazard 1
576 simple 3
577 matter 2
578 throw 5
579 covers 2
580 blow 2
581 they 160
582 fell 9
583 became 15
584 difficult 7
585 exceptionally 1
586 broad 3
587 arms 14
588 push 4
589 those 4
590 continuously 1
591 directions 3
592 moreover 2
593 control 3
594 bend 2
595 stretch 3
596 itself 4
597 finally 10
598 managed 3
599 leg 1
600 others 8
601 free 6
602 move 16
603 painfully 6
604 ca 9
605 done 12
606 said 51
607 keep 11
608 trying 4
609 part 7
610 body 24
611 seen 13
612 imagine 2
613 almost 18
614 frenzy 1
615 carelessly 1
616 shoved 1
617 force 8
618 gather 2
619 chose 1
620 direction 4
621 hit 4
622 bedpost 1
623 learned 5
624 burning 1
625 might 17
626 sensitive 2
627 turning 7
628 easily 5
629 despite 10
630 breadth 1
631 weight 3
632 bulk 1
633 eventually 2
634 followed 5
635 last 11
636 air 6
637 occurred 3
638 miracle 2
639 injured 3
640 afraid 3
641 carry 7
642 pushing 4
643 forward 12
644 same 16
645 way 62
646 price 2
647 stay 11
648 lose 1
649 consciousness 1
650 took 18
651 earlier 7
652 sighing 1
653 watching 3
654 struggled 1
655 harder 5
656 bringing 3
657 order 7
658 chaos 1
659 whatever 4
660 sacrifice 2
661 remind 2
662 calm 7
663 consideration 5
664 rushing 1
665 desperate 1
666 direct 2
667 clearly 9
668 unfortunately 6
669 narrow 3
670 street 6
671 enveloped 1
672 fog 2
673 view 4
674 confidence 4
675 cheer 1
676 offer 1
677 already 23
678 breathing 2
679 lightly 3
680 expected 7
681 total 3
682 stillness 1
683 things 25
684 real 2
685 natural 1
686 strikes 1
687 will 10
688 work 26
689 ask 3
690 task 2
691 swinging 1
692 entire 4
693 length 1
694 succeeded 1
695 falling 3
696 kept 8
697 raised 5
698 injuring 1
699 happen 5
700 carpet 6
701 main 2
702 concern 4
703 loud 8
704 bound 1
